"model","timezero","forecast_date","target_end_date","target","location","truth_data_eval","truth_data_model","truth","shift","value.point","value.0.025","value.0.25","value.0.5","value.0.75","value.0.975","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis","pit_lower","pit_upper"
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM08","JHU","ECDC",NA,0,294,205,265,294,336,406,NA,10.7413043478261,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM09","JHU","ECDC",NA,0,164,70,111,164,181,291,NA,12.8934782608696,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM10","JHU","ECDC",NA,0,144,103,124,144,156,202,NA,5.54652173913044,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM11","JHU","ECDC",NA,0,255,125,203,255,322,473,NA,19.0452173913043,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM12","JHU","ECDC",NA,0,84,50,71,84,91,126,NA,3.61478260869565,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM13","JHU","ECDC",NA,0,575,423,521,575,634,775,NA,18.2417391304348,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM14","JHU","ECDC",NA,0,204,156,188,204,223,267,NA,5.57434782608696,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM15","JHU","ECDC",NA,0,318,193,270,318,364,484,NA,14.8865217391304,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM16","JHU","ECDC",NA,0,334,201,281,334,388,490,NA,16.0847826086957,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM","JHU","ECDC",57105,719,57604,51625,55176,57604,60223,66290,499,740.81,0,23.695652173913,764.505652173913,0.4,0.45
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM01","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM02","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM03","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM04","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM05","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM06","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM07","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM08","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM09","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM10","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM11","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM12","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM13","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM14","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM15","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead cum death","GM16","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM","JHU","ECDC",5232,0,6109,2923,4707,6109,7644,11327,877,418.37652173913,0,123.95652173913,542.333043478261,0.3,0.35
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM01","JHU","ECDC",NA,0,542,290,416,542,655,966,NA,41.544347826087,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM02","JHU","ECDC",NA,0,577,329,469,577,708,1001,NA,40.6217391304348,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM03","JHU","ECDC",NA,0,34,14,25,34,45,68,NA,3.04434782608696,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM04","JHU","ECDC",NA,0,164,99,139,164,195,276,NA,9.01173913043478,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM05","JHU","ECDC",NA,0,593,257,456,593,792,1254,NA,53.9447826086957,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM06","JHU","ECDC",NA,0,526,226,461,526,546,808,NA,18.9,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM07","JHU","ECDC",NA,0,1352,652,1083,1352,1648,2470,NA,88.5591304347826,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM08","JHU","ECDC",NA,0,331,176,270,331,408,547,NA,20.285652173913,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM09","JHU","ECDC",NA,0,334,84,183,334,393,818,NA,40.9486956521739,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM10","JHU","ECDC",NA,0,187,103,146,187,216,316,NA,11.7108695652174,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM11","JHU","ECDC",NA,0,238,76,163,238,348,642,NA,29.764347826087,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM12","JHU","ECDC",NA,0,100,46,78,100,117,193,NA,7.0795652173913,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM13","JHU","ECDC",NA,0,539,328,459,539,628,870,NA,27.5086956521739,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM14","JHU","ECDC",NA,0,220,142,193,220,254,338,NA,9.63217391304348,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM15","JHU","ECDC",NA,0,374,161,284,374,467,734,NA,29.3604347826087,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-30,"3 wk ahead inc death","GM16","JHU","ECDC",NA,0,467,202,351,467,610,865,NA,37.6682608695652,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-02-06,"4 wk ahead cum death","GM","JHU","ECDC",61551,719,64286,53900,59718,64286,69240,81481,2735,1358.48565217391,0,362.913043478261,1721.39869565217,0.3,0.35
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-02-06,"4 wk ahead cum death","GM01","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-02-06,"4 wk ahead cum death","GM02","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-02-06,"4 wk ahead cum death","GM03","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-02-06,"4 wk ahead cum death","GM04","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-02-06,"4 wk ahead cum death","GM05","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
